City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Elizabeth,ZA,-33.918,25.5701,59.31,86,82,5.01,broken clouds
80,Antsohihy,MG,-14.8796,47.9875,67.69,78,2,2.37,clear sky
81,Klaksvik,FO,62.2266,-6.589,52.72,85,100,12.17,overcast clouds
82,Vallenar,CL,-28.5708,-70.7581,70.99,33,38,4.27,scattered clouds
83,Tasiilaq,GL,65.6145,-37.6368,42.96,93,99,4.29,overcast clouds
84,Tonj,SS,7.2737,28.6822,71.33,91,97,5.26,light rain
85,Vostok,RU,46.4856,135.8833,62.02,95,84,2.95,broken clouds
86,Khislavichi,RU,54.1871,32.1582,61.9,95,99,5.5,overcast clouds
87,Cidreira,BR,-30.1811,-50.2056,66.43,75,87,6.29,overcast clouds
88,Katsuura,JP,35.1333,140.3,79.21,91,90,14.85,overcast clouds
89,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,94.8,21,86,11.03,overcast clouds
90,Sorland,NO,67.667,12.6934,49.86,79,53,19.15,broken clouds
91,Khatanga,RU,71.9667,102.5,59.59,69,100,4.56,overcast clouds
92,Lebu,CL,-37.6167,-73.65,53.11,76,90,12.57,overcast clouds
93,Rock Sound,BS,24.9,-76.2,81.97,73,75,12.44,broken clouds
94,Norman Wells,CA,65.282,-126.8329,61.84,42,57,4.41,broken clouds
95,Sydney,AU,-33.8679,151.2073,53.71,75,0,9.22,clear sky
96,Ayan,RU,56.45,138.1667,58.06,86,68,6.13,broken clouds
97,Upernavik,GL,72.7868,-56.1549,39.96,83,100,2.39,overcast clouds
98,Mount Isa,AU,-20.7333,139.5,55.17,30,0,8.05,clear sky
99,Bluff,NZ,-46.6,168.3333,47.8,88,100,11.5,overcast clouds
100,Iqaluit,CA,63.7506,-68.5145,48.38,64,76,4.21,broken clouds
101,Cherskiy,RU,68.75,161.3,43.47,67,16,3.42,few clouds
102,Awjilah,LY,29.1081,21.2869,93.47,18,0,11.72,clear sky
103,Bredasdorp,ZA,-34.5322,20.0403,51.24,90,0,7.27,clear sky
104,Provideniya,RU,64.3833,-173.3,45.82,77,100,6.35,overcast clouds
105,Praia,CV,14.9215,-23.5087,81.64,77,25,9.35,scattered clouds
106,Merauke,ID,-8.4667,140.3333,76.1,85,96,15.43,overcast clouds
107,Mataura,NZ,-46.1927,168.8643,47.48,99,100,1.68,moderate rain
108,Georgetown,MY,5.4112,100.3354,80.53,85,20,5.75,few clouds
109,Jutai,BR,-5.1833,-68.9,95.27,34,63,4.5,broken clouds
110,Hobart,AU,-42.8794,147.3294,46.26,83,100,5.75,overcast clouds
111,Illela,NG,13.7292,5.2975,91.67,46,97,14.65,overcast clouds
112,Airai,TL,-8.9266,125.4092,51.51,81,33,4.12,scattered clouds
113,Asahikawa,JP,43.7678,142.3703,63.93,94,5,0.22,clear sky
114,Port-Gentil,GA,-0.7193,8.7815,76.96,83,40,11.5,scattered clouds
115,El Vigia,VE,8.6219,-71.6506,86.97,67,58,3.74,broken clouds
116,Guhagar,IN,17.4842,73.1929,79.02,89,100,5.59,overcast clouds
117,Pueblo,US,38.2545,-104.6091,89.44,43,0,9.22,clear sky
118,Illertissen,DE,48.2234,10.1035,73.63,40,40,6.91,scattered clouds
119,Nabire,ID,-3.3667,135.4833,75.85,92,99,3.65,overcast clouds
120,Tuatapere,NZ,-46.1333,167.6833,44.01,95,100,2.21,overcast clouds
121,Busselton,AU,-33.65,115.3333,53.13,75,79,8.63,broken clouds
122,Port Alfred,ZA,-33.5906,26.891,59.18,88,98,3.65,overcast clouds
123,Ubinskoye,RU,55.3068,79.6802,66.42,69,100,6.67,overcast clouds
124,Erenhot,CN,43.6475,111.9767,74.82,26,78,6.38,broken clouds
125,Bosconia,CO,9.9689,-73.8836,91.04,50,64,5.03,broken clouds
126,Esil,KZ,51.9556,66.4042,66.02,83,58,15.61,broken clouds
