City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Fort Nelson,CA,73.18,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
192,Casay,PH,79.83,overcast clouds,9.8204,123.5496,Blue Pot Family Resort
201,Goderich,CA,72.28,overcast clouds,43.7501,-81.7165,Harmony Inn
203,Pen,IN,82.44,overcast clouds,18.75,73.0833,Hotel Marquis Manthan
204,Enshi,CN,71.91,overcast clouds,30.3,109.4833,Moevenpick Enshi
206,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
207,Guerrero Negro,MX,77.47,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
208,Korla,CN,86.95,overcast clouds,41.7597,86.1469,Gulisitan Hotel
212,Puerto Rico,AR,85.78,broken clouds,-26.796,-55.024,Hotel Cabañas del Prado
213,Bage,BR,82.18,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
216,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
221,Guanica,PR,85.05,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
222,Hithadhoo,MV,81.88,overcast clouds,-0.6,73.0833,Scoop Guest House
224,Mogadishu,SO,76.23,broken clouds,2.0371,45.3438,Hotel Juba
227,Kharan,PK,89.98,broken clouds,28.5833,65.4167,Dil Aram Bangla
229,Mabaruma,GY,88.47,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
230,Cookeville,US,89.31,few clouds,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
232,Portland,US,85.98,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
235,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
240,Piacabucu,BR,78.24,few clouds,-10.4056,-36.4344,Piaçabuçu News
242,Sao Filipe,CV,80.53,broken clouds,14.8961,-24.4956,Hotel Xaguate
249,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
250,Dakar,SN,81.9,overcast clouds,14.6937,-17.4441,Novotel Dakar
251,Tiarei,PF,77.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
253,Balabac,PH,81.93,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
254,Nouadhibou,MR,70.88,clear sky,20.931,-17.0347,El Medina
258,Ghorawal,IN,83.05,moderate rain,24.7667,82.7833,Abbas Ujjwal Tent House
260,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
268,Provins,FR,74.52,overcast clouds,48.5833,3.1667,Gîte de Corberon
271,Lompoc,US,71.74,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
275,Granadilla De Abona,ES,82.74,clear sky,28.1188,-16.576,Hotel Rural Senderos De Abona
278,Saint-Georges,GD,81.41,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
279,Tura,IN,74.32,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
280,Constantine,DZ,87.21,few clouds,36.365,6.6147,Grand Hotel Cirta
281,Gilgit,PK,82.2,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
